datetime,open,high,low,close,volume
2024-01-01 00:00:00+00:00,42314.0,44266.0,42207.9,44230.2,206424.144
2024-01-02 00:00:00+00:00,44230.3,45950.0,44200.9,44979.8,459798.523
2024-01-03 00:00:00+00:00,44979.7,45582.3,40333.0,42849.5,595855.225
2024-01-04 00:00:00+00:00,42849.5,44840.8,42625.0,44143.8,333923.098
2024-01-05 00:00:00+00:00,44143.8,44500.0,42300.0,44145.4,374967.791
2024-01-06 00:00:00+00:00,44145.3,44214.6,43391.3,43956.7,138542.797
2024-01-07 00:00:00+00:00,43956.6,44486.9,43557.5,43916.9,180710.714
2024-01-08 00:00:00+00:00,43916.9,47312.0,43158.1,46972.7,495087.983
2024-01-09 00:00:00+00:00,46972.6,48100.0,44417.2,46114.0,513362.773
2024-01-10 00:00:00+00:00,46113.9,47699.3,44291.5,46662.9,668657.474
2024-01-11 00:00:00+00:00,46663.0,49027.5,45600.0,46337.8,596698.379
2024-01-12 00:00:00+00:00,46337.9,46536.2,41370.0,42788.9,575943.258
2024-01-13 00:00:00+00:00,42789.0,43273.4,42445.7,42846.4,207737.326
2024-01-14 00:00:00+00:00,42846.4,43096.1,41713.5,41734.9,181096.968
2024-01-15 00:00:00+00:00,41734.9,43376.0,41720.0,42515.0,240059.141
2024-01-16 00:00:00+00:00,42515.0,43589.0,42050.0,43133.0,287207.233
2024-01-17 00:00:00+00:00,43133.0,43198.0,42200.0,42783.4,209396.081
2024-01-18 00:00:00+00:00,42783.3,42932.3,40673.6,41323.1,335080.756
2024-01-19 00:00:00+00:00,41323.2,42197.0,40300.0,41662.2,345941.73
2024-01-20 00:00:00+00:00,41662.1,41883.5,41453.6,41691.8,95866.062
2024-01-21 00:00:00+00:00,41691.8,41880.9,41500.0,41580.0,67035.552
2024-01-22 00:00:00+00:00,41579.9,41692.3,39402.0,39567.0,459024.106
2024-01-23 00:00:00+00:00,39567.1,40172.7,38545.0,39890.0,414373.386
2024-01-24 00:00:00+00:00,39889.9,40560.6,39493.3,40078.7,272754.171
2024-01-25 00:00:00+00:00,40078.8,40300.0,39535.3,39953.3,203728.679
2024-01-26 00:00:00+00:00,39953.3,42239.3,39813.1,41806.4,355418.478
2024-01-27 00:00:00+00:00,41806.4,42187.1,41360.1,42102.2,118437.114
2024-01-28 00:00:00+00:00,42102.2,42836.0,41600.0,42021.2,205736.453
2024-01-29 00:00:00+00:00,42021.2,43340.8,41768.3,43287.7,249502.11
2024-01-30 00:00:00+00:00,43287.6,43888.0,42665.6,42918.3,257582.784
2024-01-31 00:00:00+00:00,42918.3,43748.6,42257.6,42560.5,313069.11
2024-02-01 00:00:00+00:00,42560.5,43288.0,41866.8,43072.6,274321.107
2024-02-02 00:00:00+00:00,43072.6,43480.0,42512.7,43182.0,205767.574
2024-02-03 00:00:00+00:00,43182.0,43372.2,42858.3,42992.4,89735.22
2024-02-04 00:00:00+00:00,42992.4,43112.1,42176.7,42570.3,127421.548
