datetime,Future_Vol_24h,Base_Vol_24h,Target_Residual,RV_Return,return,Past_Residual,delta_H,delta_alpha,alpha_0,delta_H_daily_mean,delta_alpha_daily_mean
2021-01-01 00:10:00,0.0275956554536328,0.04657890773622838,-0.5234894657480775,0.0454594432678252,-0.1153608045358467,-0.022835155987850922,0.2202180235819481,0.3784352448004761,0.5100379065394947,0.2042160574132396,0.3493309550065607
2021-01-01 00:20:00,0.0280920328543269,0.04646807501472455,-0.5032795101585662,0.045213429653596,0.0345529152564694,-0.02862748102186995,0.22208794446126,0.3810883091785591,0.5117423682268454,0.2042160574132396,0.3493309550065607
2021-01-01 00:30:00,0.0281952209486543,0.046343972781463336,-0.49693875280238325,0.0451969452864388,0.2070325672509199,-0.028062447087435143,0.2331149752739992,0.4165378312984289,0.5131069688615382,0.2042160574132396,0.3493309550065607
2021-01-01 00:40:00,0.0281611469868247,0.046231406479287356,-0.495716099529862,0.0452222057806927,0.1515841557107933,-0.027686349484218813,0.2270003623359645,0.4051033221068404,0.5102924005290029,0.2042160574132396,0.3493309550065607
2021-01-01 00:50:00,0.0281708830438128,0.04614161949554506,-0.49342642337446746,0.0452468806838159,0.1795165403384757,-0.02704715291998876,0.2026454547944939,0.3461831510640626,0.5103316733362219,0.2042160574132396,0.3493309550065607
2021-01-01 01:00:00,0.0278497348979905,0.04605884302379268,-0.503096327779301,0.0453977805947419,0.4305040181591835,-0.023836402713784063,0.1990816629660647,0.334882680009944,0.510490738873189,0.2042160574132396,0.3493309550065607
2021-01-01 01:10:00,0.0272495535977792,0.04604555204989704,-0.5245940292152614,0.0371924175189873,0.6016146460519067,-0.2231071888334325,0.204019188652753,0.3403940569614974,0.5111527656384791,0.2042160574132396,0.3493309550065607
2021-01-01 01:20:00,0.0269429797105376,0.04525182308547215,-0.5185201882107593,0.0371611897371049,0.4132190162438931,-0.24019145613636045,0.2122744289426891,0.3511423483530399,0.5115688642950922,0.2042160574132396,0.3493309550065607
2021-01-01 01:30:00,0.0270696941330129,0.044654100746692696,-0.5005313406870371,0.0371482656430955,0.0140287828052976,-0.25332607583764355,0.2230089809302033,0.3795323953974912,0.5127920466240175,0.2042160574132396,0.3493309550065607
2021-01-01 01:40:00,0.0271871377321883,0.04391953691163636,-0.47961526927235887,0.0369229464834923,-0.0531703197122368,-0.2737842673599548,0.2052105758149995,0.3498259358985237,0.5112437195904054,0.2042160574132396,0.3493309550065607
2021-01-01 01:50:00,0.0271764271361645,0.04339494947363173,-0.46799311462083376,0.0368428825721793,0.0764680171833731,-0.2853796093075659,0.2077242730169556,0.3526670715478218,0.5100490883834733,0.2042160574132396,0.3493309550065607
2021-01-01 02:00:00,0.0271836835600406,0.04282126083784168,-0.45441780360440415,0.0367430644742997,-0.1206905602854746,-0.29802868598270743,0.2132918703488934,0.3625983988056916,0.5103978209023965,0.2042160574132396,0.3493309550065607
2021-01-01 02:10:00,0.0271596127274598,0.04232727236145316,-0.4437005713174286,0.0366518297099967,-0.159479057647971,-0.30885722723297643,0.2194087304049872,0.3863242185301661,0.5107320882758329,0.2042160574132396,0.3493309550065607
2021-01-01 02:20:00,0.027185244998535,0.0419267869973295,-0.4332505676437131,0.036659314987066,-0.1029951647890214,-0.3152591593021958,0.218621231812785,0.3908514290075671,0.511485211172269,0.2042160574132396,0.3493309550065607
2021-01-01 02:30:00,0.0270879823691116,0.04157696516131751,-0.42845611730674565,0.0367004778859812,-0.2298470695217602,-0.3196246720000047,0.2011740053736717,0.3470765661879366,0.5130174729159779,0.2042160574132396,0.3493309550065607
2021-01-01 02:40:00,0.0269334825985851,0.04126601684507293,-0.42666910569976685,0.0368487036881314,0.3306287664484486,-0.31994518937171107,0.2020030819008556,0.3441565827330486,0.5129918580015174,0.2042160574132396,0.3493309550065607
2021-01-01 02:50:00,0.0266118003410177,0.041100797631088246,-0.43467278913696655,0.0370933336610508,-0.43786657611804,-0.31501522016423295,0.2051317147062012,0.3468792340380912,0.5143783628578125,0.2042160574132396,0.3493309550065607
2021-01-01 03:00:00,0.0265571120278925,0.04089733066683627,-0.43176721124269735,0.0371349860013,0.2109135611204848,-0.31691620530516773,0.2009622663528978,0.3349509211066249,0.5161450161841681,0.2042160574132396,0.3493309550065607
2021-01-01 03:10:00,0.0265399735266725,0.040726931706326366,-0.428237554883678,0.0371199293670448,-0.1167282086798948,-0.3198128842301545,0.2138477533629145,0.3653840443573543,0.5178567670719401,0.2042160574132396,0.3493309550065607
2021-01-01 03:20:00,0.0265532005622323,0.040574728710845276,-0.42399513835646235,0.036773664142387,-0.0704511724084255,-0.3308982067310671,0.2016421795859348,0.3506517917756948,0.5139137857241423,0.2042160574132396,0.3493309550065607
