Model,MSE,RMSE,MAE,MAPE,R-Squared
Direct_No_MFDFA_Ridge,0.00042894829335393366,0.020711066929396314,0.012024076544281823,0.27617247561201735,0.2787562732049974
Direct_No_MFDFA_LSTM,0.00042407896863703255,0.02059317772071694,0.011621976632253606,0.2458994599809447,0.2869436700549366
Direct_No_MFDFA_BI-LSTM,0.00043474163346661314,0.020850458831081227,0.011377439900552937,0.2402707475286741,0.2690152151842531
Direct_No_MFDFA_GRU,0.0004337303594121023,0.020826194069298937,0.011429981828357968,0.24343901799726353,0.2707155951115948
Direct_No_MFDFA_BI-GRU,0.0004343884083607373,0.02084198667019863,0.011644936639844856,0.24903772238557706,0.26960913616658766
Direct_With_MFDFA_Ridge,0.00043035808169362397,0.020745073672889764,0.012001604687881157,0.2710999025228943,0.2763858220064158
Direct_With_MFDFA_LSTM,0.000473606358391375,0.021762498900433632,0.012837467690040254,0.2778969466345433,0.20366715463731677
Direct_With_MFDFA_BI-LSTM,0.0005003464190194123,0.022368424598514135,0.012695836911058841,0.27047616926666596,0.15870578917461142
Direct_With_MFDFA_GRU,0.00046131044770198257,0.021478138832356556,0.011848784218985216,0.25192085184174895,0.22434178742490662
