--- Evaluation for Year: ALL | Freq: 1 ---
Scenario | Model | Feature Set | RMSE | Note
--------------------------------------------------------------------------------
[1. Baseline] | Model: GARCH(1,1) (Untuned) | Feat: Daily Return | RMSE: 1.5336 | Note: Low Freq
[2. Baseline] | Model: GARCH(1,1) (Untuned) | Feat: 10m Return | RMSE: 1.8847 | Note: High Freq
[3. Baseline GM] | Model: GARCH-MIDAS (Benchmark) (Untuned) | Feat: 10m + None | RMSE: 1.8039 | Note: Macro
[3. Baseline GM] | Model: GARCH-MIDAS (Delta_H) (Untuned) | Feat: 10m + delta_H | RMSE: 1.8042 | Note: Macro
[3. Baseline GM] | Model: GARCH-MIDAS (Delta_Alpha) (Untuned) | Feat: 10m + delta_alpha | RMSE: 1.8042 | Note: Macro
[Direct AI (Daily)] | Model: LSTM (Untuned) | Feat: Daily Feat | RMSE: 1.7152 | Note: Low Freq AI
[Direct AI (Daily)] | Model: LSTM (Tuned) | Feat: Daily Feat | RMSE: 1.6989 | Note: Low Freq AI
[Direct AI (Daily)] | Model: BI-LSTM (Untuned) | Feat: Daily Feat | RMSE: 1.7054 | Note: Low Freq AI
[Direct AI (Daily)] | Model: BI-LSTM (Tuned) | Feat: Daily Feat | RMSE: 1.6965 | Note: Low Freq AI
[Direct AI (Daily)] | Model: GRU (Untuned) | Feat: Daily Feat | RMSE: 1.7016 | Note: Low Freq AI
[Direct AI (Daily)] | Model: GRU (Tuned) | Feat: Daily Feat | RMSE: 1.6947 | Note: Low Freq AI
[Direct AI (Daily)] | Model: BI-GRU (Untuned) | Feat: Daily Feat | RMSE: 1.6847 | Note: Low Freq AI
[Direct AI (Daily)] | Model: BI-GRU (Tuned) | Feat: Daily Feat | RMSE: 1.6862 | Note: Low Freq AI
[Direct AI (Daily)] | Model: Ridge (Untuned) | Feat: Daily Feat | RMSE: 1.9371 | Note: Low Freq AI
[Direct AI (Daily)] | Model: Ridge (Tuned) | Feat: Daily Feat | RMSE: 1.8643 | Note: Low Freq AI
[Direct AI (10m)] | Model: LSTM (Untuned) | Feat: No MF | RMSE: 1.7878 | Note: High Freq AI
[Direct AI (10m)] | Model: LSTM (Tuned) | Feat: No MF | RMSE: 1.7527 | Note: High Freq AI
[Direct AI (10m)] | Model: LSTM (Untuned) | Feat: Full (With MF) | RMSE: 1.7420 | Note: High Freq AI
[Direct AI (10m)] | Model: LSTM (Tuned) | Feat: Full (With MF) | RMSE: 1.7059 | Note: High Freq AI
[Direct AI (10m)] | Model: BI-LSTM (Untuned) | Feat: No MF | RMSE: 1.8469 | Note: High Freq AI
[Direct AI (10m)] | Model: BI-LSTM (Tuned) | Feat: No MF | RMSE: 1.8797 | Note: High Freq AI
[Direct AI (10m)] | Model: BI-LSTM (Untuned) | Feat: Full (With MF) | RMSE: 1.5909 | Note: High Freq AI
